Mode,Map,Result,Score,Pick 1,Pick 2,Pick 3,Pick 4,Pick 5,Pick 6,Ban 1,Ban 2,Ban 3,Ban 4,Ban 5,Ban 6,W/L
Bounty,Shooting Star,Red,0,Colt,Leon,Piper,Spike,Mandy,Tick,Nani,Grom,Lou,Amber,Angelo,Nani,W
Gem Grab,Hard Rock Mine,Blue,1,Meg,Jessie,8-Bit,Berry,Buzz,Bibi,Frank,Surge,Rico,Surge,Rico,Lily,L
Knockout,Belle's Rock,Blue,0,Piper,Belle,Brock,Byron,Tick,Gray,Kit,Berry,Mico,Grom,Lily,Mr. P,W
Knockout,Out in the Open,Blue,0,Belle,Edgar,Bo,Meg,Otis,Rico,Lily,Angelo,Nani,Mr. P,Gene,Nani,W
Hot Zone,Parallel Plays,Blue,0,Cordelius,Surge,Leon,Stu,Meg,R-T,Bibi,Mico,Lily,Dyna,Berry,Frank,W
Gem Grab,Undermine,Red,0,Nita,Buzz,Surge,Carl,Larry,Cordelius,Frank,Meg,Lily,Jessie,Tara,Angelo,L
Heist,Hot Potato,Blue,0,Berry,Colt,Bull,Colette,Bibi,Gale,Frank,Rico,Chuck,Melodie,Dyna,Chuck,W
Bounty,Hideout,Red,1,Piper,Leon,Gene,Meg,Larry,Tick,Nani,Angelo,Lily,Sprout,Lily,Cordelius,L
Bounty,Shooting Star,Blue,1,Brock,Max,Fang,Belle,Meg,Gene,Tick,Byron,Angelo,Piper,Angelo,Mandy,W
Hot Zone,Parallel Plays,Red,0,Rico,Frank,Gale,Spike,Buzz,Kit,Dyna,Meg,Surge,Colette,Berry,Lily,W
Brawl Ball,Pinball Dreams,Blue,1,Frank,Bo,Spike,Brock,Edgar,Griff,Colette,Mico,Lily,Surge,Sandy,Spike,W
Brawl Ball,Penalty Kick,Red,1,Meg,Frank,Buzz,Gale,Lou,Tick,Rico,Edgar,Larry,Colette,Dyna,Berry,W
Heist,Safe Zone,Red,0,Fang,Colt,Grom,Bo,Brock,Piper,Chuck,Melodie,Colette,Nani,Chuck,Melodie,W
Bounty,Canal Grande,Red,0,Eve,Meg,Carl,Dyna,Leon,Grom,Surge,Tick,Emz,Angelo,Lily,Frank,W
Bounty,Canal Grande,Red,0,Squeak,Larry,Leon,Chester,Meg,Primo,Dyna,Eve,Lily,Sandy,Edgar,Grom,L
Gem Grab,Hard Rock Mine,Blue,0,8-Bit,Jessie,Sandy,Nita,Meg,Dyna,Melodie,Lily,Stu,Rico,Melodie,Lily,L
Hot Zone,Open Business,Blue,0,Meg,Chester,Lily,Surge,Mico,Frank,Colette,Berry,Edgar,Brock,Sandy,Bo,W
Bounty,Shooting Star,Blue,0,Brock,Byron,Jessie,Gene,Grom,Sprout,Piper,Angelo,Lily,Tick,Belle,Nani,W
